UAE, QATAR, SAUDI, OMAN, BAHRAIN
0.994047619,0.990079365,0.013888889,0.990079365,0.954365079
0.001984127,0.001984127,0.14484127,0.595243153,0.470238095
0.974206349,0.986111111,0.148809524,0.051587595,0.049603175
0.80954405,0.027778063,0.986111111,0.964285657,0.91468254
0.095794329,0.027777493,0.029761905,0.986111111,0.946428571
0.099750179,0.122289608,0.755952381,0.073409141,0.081349206
0.017857143,0.019899049,0.08531746,0.005952381,0.033730159
0.122917434,0.083090841,0.097222222,0.009920635,0.08531746
0.013888889,0.01978349,0.025793651,0.051587876,0.125
0.075260912,0.033730159,0.069444444,0.279762071,0.640873016
0.005952381,0.005952381,0.001984127,0.001984127,0.001984127
0.970238095,0.970238095,0.978174603,0.5952387,0.906746032
0.051362506,0.083045842,0.073412698,0.073413647,0.136904762
0.896758555,0.83527438,0.982142857,0.784434318,0.732142857
0.009920635,0.009920635,0.009920635,0.051587217,0.053571429
0.809599606,0.434511788,0.906746032,0.784434834,0.902777778
0.113095238,0.176587302,0.541146911,0.950396825,0.974206349
0.075199403,0.147238556,0.033730159,0.017857143,0.009920635
0.835247212,0.765700444,0.871031746,0.595237902,0.728174603
0.063504375,0.118414115,0.168650794,0.218254051,0.192460317
0.470471787,0.540558085,0.462428324,0.21825405,0.295634921
0.470058052,0.539570423,0.371031746,0.355158757,0.478132717
0.096874642,0.118419079,0.10515873,0.595237896,0.311507937
0.896883962,0.851242001,0.910714286,0.595237898,0.806601963
0.130941808,0.162686684,0.178655034,0.355158755,0.359136641
0.980155515,0.976189581,0.990079365,0.964285772,0.88689463
0.279863633,0.27395485,0.162700734,0.884920728,0.930554764
0.041666667,0.049467676,0.037698413,0.11507905,0.359000812
0.07560248,0.083540202,0.04754215,0.1150797,0.158760079
0.765934616,0.809592519,0.453605856,0.784434831,0.806589972
0.918650794,0.910714286,0.918650794,0.954365079,0.930554289
0.749960138,0.793515978,0.89484127,0.595236617,0.547441634
0.029761905,0.041666667,0.005952381,0.013888889,0.039687922
0.550426955,0.595237326,0.886904762,0.784434702,0.691418891
0.43021149,0.539632014,0.230157101,0.051587094,0.013888889
0.549565421,0.456347697,0.70039777,0.218254051,0.232138108
0.33333106,0.404603559,0.34914955,0.073413574,0.101224038
0.678571484,0.539632646,0.402776946,0.784434823,0.358945248
0.779766872,0.82341252,0.837301279,0.355158764,0.359319802
0.333331075,0.365079017,0.251983913,0.218254122,0.232140957
0.92460347,0.896825519,0.436548402,0.595238099,0.547285547
0.847222222,0.871034134,0.821428579,0.884920644,0.806607102
0.54956501,0.404603651,0.700397903,0.03571423,0.359138699
0.378956369,0.404603678,0.230157379,0.355158883,0.806607102
0.152773823,0.194442744,0.162696091,0.115079343,0.101182086
0.678571373,0.668651577,0.540672109,0.915961886,0.806607102
0.612930509,0.595237781,0.478157093,0.784434838,0.359138699
0.93452381,0.930555556,0.926743917,0.784434852,0.691409563
0.835338468,0.8234126,0.700397922,0.051587076,0.071428571
0.117063492,0.156746032,0.119047648,0.21825404,0.158720185
0.188492441,0.226178242,0.251984115,0.115079345,0.547612948
0.94642857,0.950396991,0.938492063,0.355158932,0.547612948
0.238037879,0.273793442,0.32244647,0.59523789,0.547612948
0.238033575,0.273790368,0.540672329,0.355158751,0.691409563
0.279742959,0.301583585,0.285714302,0.35515875,0.359138699
0.498019054,0.668650137,0.700397914,0.784434839,0.691409563
0.83533881,0.736110118,0.581348611,0.21825404,0.232143807
0.612929217,0.595237278,0.581348619,0.115079344,0.547612948
0.279743356,0.248015443,0.349149461,0.871031746,0.751984127
0.204365079,0.365079543,0.251984145,0.378968254,0.462301587
0.307553406,0.273788151,0.192459981,0.279761826,0.859126984
0.18849239,0.27379061,0.322446574,0.436507931,0.186507937
0.765853201,0.765892056,0.700397945,0.595237898,0.547612948
0.307555127,0.273791211,0.285714286,0.388888885,0.783730159
0.498019153,0.595237378,0.285714231,0.323412724,0.865079365
0.896827215,0.896825112,0.865079389,0.930555556,0.942460317
0.498020152,0.434521309,0.349149494,0.456349226,0.452380952
0.549565308,0.630963057,0.478156999,0.69047618,0.779761905
0.712315011,0.539631616,0.644887938,0.279761826,0.736111111
0.612929913,0.668650313,0.507936571,0.680555556,0.547612948
0.612929761,0.488075197,0.402775944,0.472224063,0.547612948
0.612930001,0.595237467,0.644887943,0.595237892,0.547612948
0.333329792,0.365076783,0.305555484,0.595237893,0.547612948
0.238037623,0.273793888,0.285714313,0.279761825,0.428571429
0.470101489,0.456347396,0.285714261,0.595237892,0.428571429
0.650792194,0.630959918,0.540672156,0.355158751,0.547612948
0.906746032,0.871034626,0.877022335,0.970238095,0.970238095
0.612929041,0.630961918,0.61696001,0.902777778,0.950396825
0.549565663,0.539632135,0.61696045,0.115079349,0.275793651
0.43058114,0.456348002,0.305555775,0.091269916,0.632936508
0.470103052,0.920635186,0.507936568,0.841269805,0.428571429
0.378953154,0.083438716,0.32263333,0.436507935,0.66468254
0.430580833,0.331515896,0.436346549,0.218254058,0.021825397
0.279742707,0.404603309,0.251984151,0.784433963,0.806607102
0.498019132,0.630962274,0.581348625,0.784434854,0.547612948
0.938492063,0.950396587,0.952380958,0.942460431,0.958333333
0.188492763,0.146688201,0.130952383,0.35515876,0.691409563
0.712315221,0.704214459,0.79960848,0.218254045,0.547612948
0.650793183,0.76589154,0.37560689,0.595237897,0.232143807
0.650793534,0.539631563,0.478157016,0.595237913,0.158720185
0.333331124,0.331514923,0.230157438,0.40674507,0.646825397
0.886904762,0.851177532,0.799608312,0.472224064,0.865079365
0.787698413,0.765891571,0.507936086,0.784434795,0.547612948
0.410714286,0.456347639,0.58134865,0.595237967,0.886907295
0.765853209,0.744047619,0.64488882,0.051586952,0.071428571
0.650793581,0.652777778,0.644887033,0.833333388,0.806607102
0.712315228,0.765891695,0.682539686,0.498015822,0.452380952
0.809543692,0.765891759,0.581348607,0.865080127,0.755952381
0.549565058,0.539632054,0.436546617,0.88492075,0.886907295
0.54956501,0.539631639,0.540671967,0.595237862,0.547612948
0.152773508,0.194442076,0.192459698,0.073413557,0.029761905
0.378952237,0.404603437,0.540671923,0.784435627,0.691409563
0.549564964,0.539631964,0.740079365,0.218253739,0.359138699
0.712315232,0.704215038,0.581348871,0.59523792,0.547612948
0.869092108,0.851177522,0.81547619,0.595237901,0.547612948
0.869092017,0.851177632,0.761904751,0.115079362,0.005952381
0.869092243,0.9206351,0.865079341,0.595237908,0.547612948
0.954365079,0.95039711,0.926744519,0.942460264,0.990079365
0.470100993,0.404603674,0.478157003,0.942460257,0.886907295
0.430581334,0.3315146,0.402775993,0.595239095,0.886907295
0.08531746,0.101191357,0.130952379,0.218253486,0.101182086
0.549565479,0.668650561,0.644887538,0.884920735,0.806607102
0.75014989,0.736109843,0.700398096,0.355158211,0.232143807
0.61475988,0.705963331,0.617759172,0.773863921,0.682064956
0.958333333,0.938492063,0.926273469,0.917371447,0.816886047
0.378954392,0.70421487,0.799608147,0.784435566,0.806607102
0.930555556,0.871034118,0.644887944,0.974206349,0.978174603
0.238034747,0.365079105,0.402775953,0.595237952,0.101182086
0.238035209,0.248015445,0.540672071,0.784435618,0.232143807
0.021825397,0.013888889,0.021825397,0.035714341,0.039677157
0.063479752,0.049671792,0.113095238,0.355158718,0.359138699
0.238038711,0.404607616,0.402777526,0.073413573,0.359138699
0.612933137,0.704214952,0.66468254,0.595236524,0.547612948
0.238041561,0.273796292,0.230161626,0.595237956,0.547612948
0.279745101,0.248016731,0.436547367,0.595237882,0.547612948
0.779768405,0.668655831,0.540684732,0.595238098,0.547612948
0.962301587,0.962301587,0.946428571,0.884920399,0.930557614
0.80954415,0.851177694,0.799608291,0.595238432,0.359138699
0.712315016,0.404603667,0.799608365,0.115079427,0.232143807
0.946428419,0.950396714,0.958333333,0.884920554,0.691409563
0.71231502,0.331514649,0.700397916,0.595238115,0.691411118
0.025793651,0.06547619,0.081349206,0.025793651,0.017857143
0.549564934,0.539631833,0.540672901,0.242063529,0.077380952
0.051642201,0.061507937,0.041666667,0.029761905,0.691409563
0.152773709,0.194454401,0.877022209,0.279761976,0.158720185
0.152806998,0.194452725,0.192461274,0.091269766,0.186507937
0.712243662,0.809500998,0.54066649,0.406745133,0.259920635
0.549565035,0.53963203,0.744047619,0.734126991,0.761904762
0.430610648,0.668646613,0.761904773,0.93452381,0.359138699
0.612952205,0.736113372,0.540671983,0.851190476,0.428571429
0.27975305,0.301586868,0.402775965,0.255952381,0.761904762
0.333332875,0.59523455,0.769841212,0.263888889,0.769841112
0.835323771,0.456340153,0.64488772,0.180555556,0.291666667
0.333344073,0.226185429,0.251984311,0.456349238,0.632936508
0.307563265,0.630923761,0.616957296,0.16468254,0.232143807
0.430601136,0.365078892,0.581352462,0.865078603,0.428571429
0.712331632,0.835338936,0.845238099,0.406749502,0.632936508
0.549566048,0.488075128,0.402776186,0.472216704,0.547612948
0.170635786,0.226178322,0.138888892,0.174597417,0.232143807
0.469964066,0.170651117,0.178487823,0.242063455,0.466269841
0.966269841,0.966269841,0.970238095,0.978174603,0.986111111
0.238110252,0.365082429,0.769841327,0.299603175,0.128968404
0.37894575,0.273806422,0.138888886,0.311507937,0.408730317
0.136904762,0.194428053,0.597222222,0.690476214,0.65873
0.430594805,0.404625367,0.331349206,0.664682527,0.40873
0.549590507,0.53962263,0.540672334,0.716269816,0.806608815
0.712294366,0.539659356,0.47815688,0.498015963,0.452380952
0.749738983,0.728174603,0.859126984,0.716269804,0.744047461
0.471024498,0.474206349,0.603174345,0.595237517,0.744047461
0.170634055,0.30159699,0.305555459,0.388888893,0.283730159
0.672619048,0.488091402,0.361109625,0.456349322,0.658730317
0.109126984,0.134924688,0.208333333,0.186507932,0.101182086
0.430656699,0.406459382,0.230157394,0.132936508,0.390873016
0.307440381,0.330175496,0.507936807,0.833333279,0.60515873
