,Date,UAE,QATAR,SAUDI,OMAN,BAHRAIN
3547,7 days,-3.84245453233234e-08,1.749999983360901,-2.505029422361119,-5.922391444777958,-25.52497439999999
3552,7 days,-0.9999997747813296,-1.2499999341284962,-0.7508276732421635,-14.201415633048214,4.581711999999982
3557,7 days,2.2500000744331174,2.2500000808776264,1.5034534225244656,0.4322772043422276,-4.586072599999994
3562,7 days,-1.7500000374790972,0.25000016158045923,0.7522656009319775,-0.8146327564745377,-0.0024695999999835294
3567,7 days,-1.4999999698470177,-2.000000075269547,-3.0055147613609066,3.4725505975171984,15.290759899999983
3572,7 days,-0.499958339109817,-0.4999999579011458,-1.752188575835845,-7.945133383398684,-13.260784799999982
3577,7 days,2.999958568419146,3.750000091824006,5.761898922768772,11.500000000678796,13.25433319999999
3582,7 days,7.000000065122883,5.750000064281203,11.03725412666445,56.50000003046418,10.21388060000001
3587,7 days,37.4999997171496,49.999999787163944,78.83173676133707,155.00000002119776,155.4886816
3592,7 days,29.999999960267786,30.000000052291057,35.7060305061201,124.9999999471874,122.27319919999997
3597,7 days,34.999999648304524,24.999999737795207,-15.220057247430134,99.9999996855845,28.825740499999995
3602,7 days,-27.49999990874835,-25.000186864051926,-5.115777596291224,1.1826193713204702e-07,-0.07412539999995715
3607,7 days,10.500000046805582,20.00018694623617,-5.110413482756911,-24.999999945567083,-27.28505190000004
3612,9 days,2.0000000301335206,-9.999999841847966,15.32782716686819,29.999999963751065,16.231785700000046
3617,7 days,-5.000135819900834,-10.000000021778249,-12.272403769089806,70.00000017173068,21.74345409999995
3622,7 days,-4.999621857022888,-4.999576725816425,2.0392436683299877,-20.000000559404953,-21.873308699999995
3627,7 days,-12.50024003409277,-10.50008065081451,-7.6589587004407065,-54.99999950195047,-32.57139209999997
3632,8 days,-4.000062235398289,-6.000036685454262,-7.137843075040109,-50.000000081204234,-21.59037090000004
3637,7 days,-13.499764732453372,-10.500117156457549,-13.736042498064023,-24.999999916034767,-16.13907089999998
3642,10 days,-6.000041775177351,-9.000055509157178,-8.631294474499867,-7.499999969542955,2.6102822999999944
3647,7 days,-19.50000805443328,-19.50000805443328,-41.43994589093677,-92.4999999260715,-87.55320760000001
3652,7 days,9.999991210219306,9.999991210219306,12.601617540628837,1.7795912299334304e-08,15.77335770000002
3657,7 days,-7.000044183062414,-6.000041425678944,-8.572044796290754,-19.99999999019417,-15.815105399999993
3662,7 days,3.4999891667745544,2.4999864093910844,13.11482625597732,4.999999977631887,5.232105399999966
3667,7 days,-15.00000926157852,-16.500012603276424,-17.144086237931518,-24.999999985433078,-26.24744009999995
3672,7 days,2.0000044168995004,-0.7500018081672053,6.045137890019262,4.9999999994999484,15.691112999999973
3677,7 days,-4.499995326364292,-3.2501264271123276,2.340162711789162e-05,24.499999994506425,37.875890200000015
3682,7 days,-6.00005149544139,-4.4999129466549945,-12.082585594705463,-39.499999993690665,-43.16471720000004
3687,7 days,2.2499884731332855,1.4999879170428159,4.528405038069863,-2.1003643269068561e-10,5.219520700000032
3692,7 days,-6.249992138801858,-4.999996885672175,-4.527916981711627,-9.999999999729084,-10.499828799999989
3697,7 days,-0.49997400795443525,3.251038810248019e-05,-0.5026073808039655,-9.999999999810086,-5.254086099999995
3702,7 days,-0.5000030585754658,-2.155230966138788e-06,-1.5081056298745494,-5.000000000061334,-0.01957790000000159
3707,8 days,-4.999996355610534,-4.999996355610534,-6.894688022761883,-3.3878677641041577e-10,-5.166125700000009
3712,7 days,3.5000089716266842,3.000008119703587,7.000030229011898,-2.979732016683556e-10,9.99999969999999
3717,7 days,-3.5000068861062203,-4.000007509787842,-4.499947176239644,-5.0000000001915055,-5.0000001000000225
3722,7 days,11.999997555618393,12.999999031223112,18.000003970972685,30.00000000012136,14.999998400000038
3727,7 days,-1.749989108843927,-1.999989662430984,-4.99999854574898,9.999999998831527,19.999999299999956
3732,7 days,-7.250043253162552,-8.000042706109838,-11.499977221941876,-15.000000023645612,-5.000006699999972
3737,7 days,-5.999987808804342,-5.99998936336997,-10.500048633480532,-14.999999972354487,-14.999993700000005
3742,7 days,1.500012881018229,2.000013515202724,-0.7499513969584086,4.999999999364945,9.999999000000003
3747,7 days,4.750004915256895,4.750004809845819,7.250000043838369,24.999999996924657,19.99999919999999
